Date,Open,High,Low,Close,Adj Close,Volume
2023-04-12,299.75,299.75,281.95001220703125,292.8500061035156,292.8500061035156,342
2023-04-13,294.8500061035156,298.8500061035156,285.1499938964844,291.8999938964844,291.8999938964844,272
2023-04-17,291.8999938964844,299.95001220703125,282.54998779296875,286.0,286.0,103
2023-04-18,286.0,286.0,286.0,286.0,286.0,0
2023-04-19,288.04998779296875,291.0,286.0,286.0,286.0,50
2023-04-20,290.1000061035156,299.54998779296875,282.0,294.79998779296875,294.79998779296875,611
2023-04-21,295.29998779296875,297.3999938964844,290.1499938964844,292.6499938964844,292.6499938964844,10
2023-04-24,300.5,300.5,288.04998779296875,288.6499938964844,288.6499938964844,210
2023-04-25,287.6000061035156,287.6000061035156,285.04998779296875,286.0,286.0,6
2023-04-26,295.29998779296875,299.95001220703125,290.8999938964844,292.45001220703125,292.45001220703125,321
2023-04-27,296.0,296.70001220703125,282.45001220703125,285.6499938964844,285.6499938964844,26
2023-04-28,295.45001220703125,296.8500061035156,282.75,287.54998779296875,287.54998779296875,80
2023-05-02,282.70001220703125,282.70001220703125,272.0,277.75,277.75,1832
2023-05-03,284.8999938964844,285.25,277.0,282.70001220703125,282.70001220703125,1444
2023-05-04,287.0,287.95001220703125,278.0,281.6499938964844,281.6499938964844,113
2023-05-05,289.0,289.0,278.1000061035156,282.5,282.5,76
2023-05-08,279.79998779296875,279.79998779296875,270.5,276.8999938964844,276.8999938964844,276
2023-05-09,279.1499938964844,279.1499938964844,261.54998779296875,272.29998779296875,272.29998779296875,979
2023-05-10,276.0,277.3500061035156,270.0,270.0,270.0,121
2023-05-11,284.0,289.95001220703125,268.54998779296875,283.3999938964844,283.3999938964844,1465
2023-05-12,279.79998779296875,285.0,279.5,284.8999938964844,284.8999938964844,2682
2023-05-15,274.1000061035156,302.04998779296875,274.1000061035156,294.6000061035156,294.6000061035156,3034
2023-05-16,301.04998779296875,302.1499938964844,294.20001220703125,294.8500061035156,294.8500061035156,631
2023-05-17,289.0,295.3999938964844,284.04998779296875,285.75,285.75,148
2023-05-18,300.0,300.0,288.04998779296875,299.3500061035156,299.3500061035156,97
2023-05-19,304.25,304.25,294.04998779296875,295.8999938964844,295.8999938964844,91
2023-05-22,288.1000061035156,299.0,288.1000061035156,289.75,289.75,5
2023-05-23,290.1499938964844,290.1499938964844,288.1000061035156,288.1000061035156,288.1000061035156,61
2023-05-24,279.1000061035156,286.8999938964844,277.95001220703125,285.75,285.75,285
2023-05-25,281.04998779296875,282.6499938964844,281.04998779296875,282.54998779296875,282.54998779296875,13
2023-05-26,290.1499938964844,290.1499938964844,282.70001220703125,282.70001220703125,282.70001220703125,5
2023-05-29,292.6499938964844,292.6499938964844,282.6499938964844,282.75,282.75,193
2023-05-30,302.0,302.0,283.25,286.6499938964844,286.6499938964844,360
2023-05-31,292.5,292.5,284.75,290.8500061035156,290.8500061035156,41
2023-06-01,304.5,304.5,291.0,293.8500061035156,293.8500061035156,117
2023-06-02,299.54998779296875,302.0,286.04998779296875,295.0,295.0,481
2023-06-05,291.5,309.8999938964844,290.54998779296875,307.0,307.0,1049
2023-06-06,300.20001220703125,313.8999938964844,300.1499938964844,313.6499938964844,313.6499938964844,607
2023-06-07,307.8999938964844,313.3500061035156,307.8999938964844,313.25,313.25,136
2023-06-08,333.0,333.0,306.0,314.95001220703125,314.95001220703125,303
2023-06-09,305.1000061035156,319.0,305.0,313.6499938964844,313.6499938964844,198
2023-06-12,320.0,320.0,302.0,305.95001220703125,305.95001220703125,46
2023-06-13,301.0,305.0,299.8999938964844,305.0,305.0,132
2023-06-14,302.3999938964844,333.0,300.0,319.54998779296875,319.54998779296875,498
2023-06-15,307.20001220703125,330.0,306.04998779296875,323.6000061035156,323.6000061035156,874
2023-06-16,323.6000061035156,333.0,309.0,319.20001220703125,319.20001220703125,290
2023-06-19,318.1000061035156,319.95001220703125,308.0,315.0,315.0,812
2023-06-20,320.1000061035156,320.1000061035156,311.45001220703125,315.3999938964844,315.3999938964844,1451
2023-06-21,320.1000061035156,329.3999938964844,308.1000061035156,315.1499938964844,315.1499938964844,476
2023-06-22,308.8500061035156,330.54998779296875,308.8500061035156,326.45001220703125,326.45001220703125,1458
2023-06-23,319.8999938964844,335.0,319.8999938964844,328.29998779296875,328.29998779296875,135
2023-06-26,304.04998779296875,329.8999938964844,304.04998779296875,327.0,327.0,66
2023-06-27,303.6000061035156,333.6000061035156,303.6000061035156,332.29998779296875,332.29998779296875,302
2023-06-30,353.95001220703125,399.3999938964844,345.04998779296875,347.8999938964844,347.8999938964844,24070
2023-07-03,355.0,357.75,336.3999938964844,339.79998779296875,339.79998779296875,892
2023-07-04,338.6000061035156,339.95001220703125,328.0,329.95001220703125,329.95001220703125,955
2023-07-05,344.8500061035156,344.8500061035156,331.0,332.29998779296875,332.29998779296875,1701
2023-07-06,327.95001220703125,342.04998779296875,326.0,328.1000061035156,328.1000061035156,351
2023-07-07,328.20001220703125,337.95001220703125,328.1499938964844,328.20001220703125,328.20001220703125,42
2023-07-10,360.6000061035156,360.6000061035156,326.0,335.25,335.25,722
2023-07-11,337.0,341.8500061035156,326.5,329.95001220703125,329.95001220703125,487
2023-07-12,330.6000061035156,344.75,325.0,325.20001220703125,325.20001220703125,809
2023-07-13,348.0,348.0,326.0,338.75,338.75,1275
2023-07-14,347.8999938964844,347.8999938964844,327.6499938964844,345.3999938964844,345.3999938964844,776
