Date,Open,High,Low,Close,Adj Close,Volume
2023-03-03,626.0,630.0,611.0499877929688,615.3499755859375,615.3499755859375,192809
2023-03-06,615.0,621.3499755859375,606.7999877929688,608.3499755859375,608.3499755859375,374945
2023-03-08,608.0999755859375,608.7000122070312,598.5999755859375,603.7000122070312,603.7000122070312,762838
2023-03-09,606.75,619.9000244140625,604.0,607.2000122070312,607.2000122070312,362350
2023-03-10,608.25,611.5999755859375,587.6500244140625,602.0,602.0,567439
2023-03-13,588.5499877929688,602.0,569.0,573.2000122070312,573.2000122070312,384111
2023-03-14,573.2000122070312,588.0,549.4500122070312,553.75,553.75,471947
2023-03-15,557.8499755859375,570.0,552.25,562.7000122070312,562.7000122070312,314973
2023-03-16,562.7000122070312,572.0,553.0499877929688,568.4500122070312,568.4500122070312,330259
2023-03-17,571.2999877929688,583.0,571.25,577.5999755859375,577.5999755859375,168741
2023-03-20,571.5999755859375,592.7999877929688,565.9000244140625,571.8499755859375,571.8499755859375,162232
2023-03-21,571.8499755859375,574.5,565.0,570.0999755859375,570.0999755859375,176032
2023-03-22,570.0999755859375,585.3499755859375,566.7999877929688,577.8499755859375,577.8499755859375,128026
2023-03-23,577.7999877929688,580.4000244140625,568.4000244140625,576.5499877929688,576.5499877929688,108940
2023-03-24,577.0499877929688,578.2999877929688,569.4500122070312,575.4500122070312,575.4500122070312,202676
2023-03-27,578.3499755859375,578.3499755859375,560.5,565.1500244140625,565.1500244140625,114474
2023-03-28,565.0,567.2000122070312,558.3499755859375,564.0999755859375,564.0999755859375,84017
2023-03-29,564.0,579.0,550.0,575.75,575.75,385145
2023-03-31,571.0499877929688,584.2999877929688,564.7999877929688,572.7000122070312,572.7000122070312,238251
2023-04-03,571.0,581.0,563.1500244140625,574.8499755859375,574.8499755859375,237247
2023-04-05,576.0,577.0999755859375,567.0,571.5,571.5,199217
2023-04-06,567.7999877929688,581.0,564.0,575.5499877929688,575.5499877929688,199387
2023-04-10,575.0,607.9000244140625,572.8499755859375,601.5499877929688,601.5499877929688,369254
2023-04-11,607.2999877929688,613.1500244140625,583.9500122070312,595.9500122070312,595.9500122070312,276102
2023-04-12,598.9500122070312,602.9000244140625,593.1500244140625,598.4000244140625,598.4000244140625,97552
2023-04-13,597.0,599.75,586.6500244140625,598.1500244140625,598.1500244140625,118311
2023-04-17,598.3499755859375,598.3499755859375,566.0,582.5999755859375,582.5999755859375,258182
2023-04-18,585.0,588.0,579.1500244140625,584.1500244140625,584.1500244140625,181117
2023-04-19,585.9500122070312,590.0,570.7999877929688,578.7999877929688,578.7999877929688,217571
2023-04-20,580.5,602.6500244140625,580.5,589.25,589.25,407245
2023-04-21,594.0,602.0,590.0499877929688,598.0499877929688,598.0499877929688,162320
2023-04-24,598.9500122070312,604.2999877929688,592.25,595.7000122070312,595.7000122070312,162211
2023-04-25,596.9500122070312,598.7999877929688,581.25,594.9000244140625,594.9000244140625,247316
2023-04-26,593.0,601.8499755859375,588.9500122070312,597.25,597.25,126066
2023-04-27,599.9000244140625,599.9000244140625,588.0,591.0,591.0,145669
