Date,Open,High,Low,Close,Adj Close,Volume
2023-03-03,2.5,2.5,2.4000000953674316,2.4000000953674316,2.4000000953674316,193208
2023-03-06,2.450000047683716,2.450000047683716,2.3499999046325684,2.4000000953674316,2.4000000953674316,503067
2023-03-08,2.450000047683716,2.450000047683716,2.3499999046325684,2.4000000953674316,2.4000000953674316,423934
2023-03-09,2.450000047683716,2.450000047683716,2.3499999046325684,2.3499999046325684,2.3499999046325684,164483
2023-03-10,2.3499999046325684,2.3499999046325684,2.299999952316284,2.299999952316284,2.299999952316284,450757
2023-03-13,2.3499999046325684,2.3499999046325684,2.200000047683716,2.25,2.25,526882
2023-03-14,2.299999952316284,2.3499999046325684,2.200000047683716,2.200000047683716,2.200000047683716,303820
2023-03-15,2.25,2.299999952316284,2.1500000953674316,2.1500000953674316,2.1500000953674316,590126
2023-03-16,2.1500000953674316,2.549999952316284,2.1500000953674316,2.4000000953674316,2.4000000953674316,1917633
2023-03-17,2.450000047683716,2.549999952316284,2.3499999046325684,2.450000047683716,2.450000047683716,1397544
2023-03-20,2.5,2.5,2.25,2.299999952316284,2.299999952316284,495742
2023-03-21,2.3499999046325684,2.4000000953674316,2.25,2.25,2.25,352049
2023-03-22,2.3499999046325684,2.4000000953674316,2.299999952316284,2.3499999046325684,2.3499999046325684,385864
2023-03-23,2.4000000953674316,2.4000000953674316,2.299999952316284,2.3499999046325684,2.3499999046325684,300611
2023-03-24,2.3499999046325684,2.3499999046325684,2.1500000953674316,2.25,2.25,481231
2023-03-27,2.25,2.299999952316284,2.0999999046325684,2.1500000953674316,2.1500000953674316,721655
2023-03-28,2.200000047683716,2.200000047683716,2.0,2.0999999046325684,2.0999999046325684,1157208
2023-03-29,2.1500000953674316,2.200000047683716,1.9500000476837158,2.0,2.0,1319324
2023-03-31,2.0999999046325684,2.1500000953674316,2.0,2.049999952316284,2.049999952316284,648120
2023-04-03,2.1500000953674316,2.299999952316284,2.049999952316284,2.25,2.25,513733
2023-04-05,2.299999952316284,2.450000047683716,2.25,2.299999952316284,2.299999952316284,881034
2023-04-06,2.4000000953674316,2.75,2.200000047683716,2.549999952316284,2.549999952316284,2756161
2023-04-10,2.549999952316284,2.6500000953674316,2.4000000953674316,2.5,2.5,694170
2023-04-11,2.549999952316284,2.549999952316284,2.450000047683716,2.450000047683716,2.450000047683716,454725
